prefixo_veiculo,veiculo_acessivel_pessoas_deficiencia,horario_universal_localizacao_capturada,latitude_localizada,longitude_localizada,sv,is,hora_referencia_infos,letreiro_completo,codigo_linha,sentido_linha,letreiro_destino_linha,letreiro_origem_linha,quantidade_veiculos_localizados
86177,True,2024-10-14T00:14:30Z,-23.629364250000002,-46.7076085,,,21:14,736G-10,33548,2,SHOP. MORUMBI,JD. INGÁ,1
25638,True,2024-10-14T00:13:57Z,-23.442846,-46.57655,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
25633,True,2024-10-14T00:14:14Z,-23.4512405,-46.576457500000004,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
25635,True,2024-10-14T00:14:33Z,-23.527362500000002,-46.6269225,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
25211,True,2024-10-14T00:13:58Z,-23.4802815,-46.6000715,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
25650,True,2024-10-14T00:14:32Z,-23.442846,-46.57655,,,21:14,1702-10,846,1,TIETÊ,JOVA RURAL,5
68167,True,2024-10-14T00:14:16Z,-23.61763275,-46.639095749999996,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
68426,True,2024-10-14T00:14:23Z,-23.678414500000002,-46.63006525,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
68353,True,2024-10-14T00:13:23Z,-23.680863625,-46.63258437499999,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
68367,True,2024-10-14T00:14:34Z,-23.6509175,-46.640114,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
68707,True,2024-10-14T00:14:21Z,-23.680918874999996,-46.632875125,,,21:14,5123-10,33893,2,HOSP. SÃO PAULO,JD. MIRIAM,5
66781,True,2024-10-14T00:14:34Z,-23.709000500000002,-46.699838,,,21:14,6076-41,1986,1,TERM. STO. AMARO,JD. SATÉLITE II,1
61415,True,2024-10-14T00:14:28Z,-23.753096,-46.6885345,,,21:14,675R-10,109,1,METRÔ JABAQUARA,GRAJAÚ,1
21710,True,2024-10-14T00:13:58Z,-23.515946749999998,-46.61641775,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
21749,True,2024-10-14T00:14:28Z,-23.50618525,-46.624988875,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
21734,True,2024-10-14T00:14:30Z,-23.5425185,-46.590292500000004,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
21709,True,2024-10-14T00:14:20Z,-23.516675,-46.616491499999995,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
21704,True,2024-10-14T00:14:28Z,-23.516318499999997,-46.616457999999994,,,21:14,172N-10,33432,2,METRÔ BELÉM,SHOP. CENTER NORTE,5
32129,True,2024-10-14T00:14:34Z,-23.4789165,-46.384702000000004,,,21:14,273J-10,389,1,METRÔ PENHA,JD. ROMANO,4
32146,True,2024-10-14T00:14:32Z,-23.4899815,-46.436840000000004,,,21:14,273J-10,389,1,METRÔ PENHA,JD. ROMANO,4
32943,True,2024-10-14T00:14:35Z,-23.505524,-46.4571075,,,21:14,273J-10,389,1,METRÔ PENHA,JD. ROMANO,4
32252,True,2024-10-14T00:14:30Z,-23.525672,-46.524723125,,,21:14,273J-10,389,1,METRÔ PENHA,JD. ROMANO,4
21620,True,2024-10-14T00:13:56Z,-23.65404,-46.63784,,,21:14,175T-10,623,1,METRÔ JABAQUARA,METRÔ SANTANA,6
21639,True,2024-10-14T00:13:56Z,-23.653510999999998,-46.637828,,,21:14,175T-10,623,1,METRÔ JABAQUARA,METRÔ SANTANA,6
21797,True,2024-10-14T00:14:16Z,-23.6541565,-46.637633,,,21:14,175T-10,623,1,METRÔ JABAQUARA,METRÔ SANTANA,6
21643,True,2024-10-14T00:14:33Z,-23.506302249999997,-46.62408525,,,21:14,175T-10,623,1,METRÔ JABAQUARA,METRÔ SANTANA,6
21576,True,2024-10-14T00:14:29Z,-23.653267,-46.637658,,,21:14,175T-10,623,1,METRÔ JABAQUARA,METRÔ SANTANA,6
21629,True,2024-10-14T00:14:00Z,-23.6537985,-46.637972500000004,,,21:14,175T-10,623,1,METRÔ JABAQUARA,METRÔ SANTANA,6
31292,True,2024-10-14T00:14:34Z,-23.4854275,-46.48087125,,,21:14,2582-10,33142,2,TERM. PQ. D. PEDRO II,VL. NOVA CURUÇÁ,4
31146,True,2024-10-14T00:14:22Z,-23.493348,-46.449682,,,21:14,2582-10,33142,2,TERM. PQ. D. PEDRO II,VL. NOVA CURUÇÁ,4
31168,True,2024-10-14T00:13:56Z,-23.549611,-46.6282535,,,21:14,2582-10,33142,2,TERM. PQ. D. PEDRO II,VL. NOVA CURUÇÁ,4
31161,True,2024-10-14T00:14:37Z,-23.51908225,-46.42337275,,,21:14,2582-10,33142,2,TERM. PQ. D. PEDRO II,VL. NOVA CURUÇÁ,4
71282,True,2024-10-13T23:44:52Z,-23.631508,-46.7726,,,21:14,809P-10,34659,2,TERM. PINHEIROS,TERM. CAMPO LIMPO,3
71305,True,2024-10-14T00:14:16Z,-23.61964675,-46.758040875,,,21:14,809P-10,34659,2,TERM. PINHEIROS,TERM. CAMPO LIMPO,3
71856,True,2024-10-14T00:14:41Z,-23.5846285,-46.718096,,,21:14,809P-10,34659,2,TERM. PINHEIROS,TERM. CAMPO LIMPO,3
22830,True,2024-10-14T00:14:01Z,-23.4546305,-46.5769505,,,21:14,2025-10,35035,2,SANTANA,VL. NOVA GALVÃO,5
22831,True,2024-10-14T00:14:15Z,-23.502243999999997,-46.623825,,,21:14,2025-10,35035,2,SANTANA,VL. NOVA GALVÃO,5
22832,True,2024-10-14T00:14:12Z,-23.4509685,-46.57224025,,,21:14,2025-10,35035,2,SANTANA,VL. NOVA GALVÃO,5
22792,True,2024-10-14T00:14:06Z,-23.4509685,-46.57224025,,,21:14,2025-10,35035,2,SANTANA,VL. NOVA GALVÃO,5
22802,True,2024-10-14T00:14:11Z,-23.502243999999997,-46.623825,,,21:14,2025-10,35035,2,SANTANA,VL. NOVA GALVÃO,5
55276,True,2024-10-14T00:14:29Z,-23.586609250000002,-46.5189,,,21:14,514T-10,34439,2,CONJ. HAB. TEOTÔNIO VILELA,TERM. SACOMÃ,3
55196,True,2024-10-14T00:14:16Z,-23.581922,-46.588783,,,21:14,514T-10,34439,2,CONJ. HAB. TEOTÔNIO VILELA,TERM. SACOMÃ,3
55458,True,2024-10-14T00:13:58Z,-23.58105725,-46.55611775,,,21:14,514T-10,34439,2,CONJ. HAB. TEOTÔNIO VILELA,TERM. SACOMÃ,3
16492,True,2024-10-14T00:14:08Z,-23.437998999999998,-46.7213425,,,21:14,8010-10,33566,2,LAPA,PERUS,3
16603,True,2024-10-14T00:13:54Z,-23.4063705,-46.755480500000004,,,21:14,8010-10,33566,2,LAPA,PERUS,3
16554,True,2024-10-14T00:14:32Z,-23.472284000000002,-46.725635999999994,,,21:14,8010-10,33566,2,LAPA,PERUS,3
48262,True,2024-10-14T00:14:13Z,-23.5399025,-46.5415365,,,21:14,407E-10,2215,1,METRÔ CARRÃO,JD. STO. ANDRÉ,2
48714,True,2024-10-14T00:14:14Z,-23.619695,-46.4606495,,,21:14,407E-10,2215,1,METRÔ CARRÃO,JD. STO. ANDRÉ,2
56277,True,2024-10-14T00:14:06Z,-23.58678475,-46.58213550000001,,,21:14,476G-10,33879,2,IBIRAPUERA,JD. ELBA,1
32012,True,2024-10-14T00:14:05Z,-23.524152,-46.5485585,,,21:14,2435-10,32978,2,TERM. ARICANDUVA,JD. COIMBRA,5
32270,True,2024-10-14T00:14:02Z,-23.5289775,-46.4795655,,,21:14,2435-10,32978,2,TERM. ARICANDUVA,JD. COIMBRA,5
32858,True,2024-10-14T00:14:04Z,-23.528665500000002,-46.554443500000005,,,21:14,2435-10,32978,2,TERM. ARICANDUVA,JD. COIMBRA,5
32404,True,2024-10-14T00:14:16Z,-23.528665500000002,-46.554443500000005,,,21:14,2435-10,32978,2,TERM. ARICANDUVA,JD. COIMBRA,5
32011,True,2024-10-14T00:14:14Z,-23.529053,-46.4798375,,,21:14,2435-10,32978,2,TERM. ARICANDUVA,JD. COIMBRA,5
16367,True,2024-10-14T00:14:03Z,-23.472927,-46.6785105,,,21:14,9717-10,817,1,METRÔ SANTANA,JD. ALMANARA,3
16202,True,2024-10-14T00:14:02Z,-23.512786875,-46.66155825,,,21:14,9717-10,817,1,METRÔ SANTANA,JD. ALMANARA,3
16538,True,2024-10-14T00:14:19Z,-23.50316325,-46.6230835,,,21:14,9717-10,817,1,METRÔ SANTANA,JD. ALMANARA,3
26008,True,2024-10-14T00:14:38Z,-23.5128515,-46.5854645,,,21:14,172R-10,859,1,METRÔ BELÉM,JAÇANÃ,3
26231,True,2024-10-14T00:14:27Z,-23.52945075,-46.602647000000005,,,21:14,172R-10,859,1,METRÔ BELÉM,JAÇANÃ,3
26361,True,2024-10-14T00:14:16Z,-23.491689,-46.5744715,,,21:14,172R-10,859,1,METRÔ BELÉM,JAÇANÃ,3
56322,True,2024-10-14T00:13:57Z,-23.546543999999997,-46.631561000000005,,,21:14,2590-10,912,1,PQ. D. PEDRO II,UNIÃO DE VL. NOVA,5
56336,True,2024-10-14T00:14:31Z,-23.485671749999998,-46.484864,,,21:14,2590-10,912,1,PQ. D. PEDRO II,UNIÃO DE VL. NOVA,5
56345,True,2024-10-14T00:13:55Z,-23.539786,-46.610667,,,21:14,2590-10,912,1,PQ. D. PEDRO II,UNIÃO DE VL. NOVA,5
56340,True,2024-10-14T00:14:18Z,-23.546543999999997,-46.631561000000005,,,21:14,2590-10,912,1,PQ. D. PEDRO II,UNIÃO DE VL. NOVA,5
56346,True,2024-10-14T00:13:58Z,-23.535055749999998,-46.57767750000001,,,21:14,2590-10,912,1,PQ. D. PEDRO II,UNIÃO DE VL. NOVA,5
21361,True,2024-10-14T00:13:58Z,-23.507492499999998,-46.53350325,,,21:14,271A-51,33471,2,METRÔ SANTANA,CANGAÍBA,3
21383,True,2024-10-14T00:14:35Z,-23.50225,-46.623670000000004,,,21:14,271A-51,33471,2,METRÔ SANTANA,CANGAÍBA,3
21435,True,2024-10-14T00:14:23Z,-23.4917885,-46.5787005,,,21:14,271A-51,33471,2,METRÔ SANTANA,CANGAÍBA,3
64453,True,2024-10-14T00:14:28Z,-23.7443095,-46.709995500000005,,,21:14,677V-10,32880,2,EST. GRAJAÚ,JD. ALPINO,2
64652,True,2024-10-14T00:14:28Z,-23.726656,-46.7161305,,,21:14,677V-10,32880,2,EST. GRAJAÚ,JD. ALPINO,2
36551,True,2024-10-14T00:14:34Z,-23.521084000000002,-46.3870275,,,21:14,2008-10,897,1,CPTM ITAIM PAULISTA,JD. NSA. SRA. DO CAMINHO,4
36593,True,2024-10-14T00:14:08Z,-23.521084000000002,-46.3870275,,,21:14,2008-10,897,1,CPTM ITAIM PAULISTA,JD. NSA. SRA. DO CAMINHO,4
36595,True,2024-10-14T00:14:27Z,-23.513673375,-46.39163925,,,21:14,2008-10,897,1,CPTM ITAIM PAULISTA,JD. NSA. SRA. DO CAMINHO,4
36568,True,2024-10-14T00:14:27Z,-23.514018,-46.391044,,,21:14,2008-10,897,1,CPTM ITAIM PAULISTA,JD. NSA. SRA. DO CAMINHO,4
71734,True,2024-10-14T00:14:22Z,-23.595983,-46.6923585,,,21:14,6451-10,61,1,TERM. BANDEIRA,TERM. CAPELINHA,3
71275,True,2024-10-14T00:14:30Z,-23.569152000000003,-46.660947500000006,,,21:14,6451-10,61,1,TERM. BANDEIRA,TERM. CAPELINHA,3
71689,True,2024-10-14T00:14:30Z,-23.643456999999998,-46.7356385,,,21:14,6451-10,61,1,TERM. BANDEIRA,TERM. CAPELINHA,3
51569,True,2024-10-14T00:14:05Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51574,True,2024-10-14T00:14:00Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51123,True,2024-10-14T00:14:35Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51572,True,2024-10-14T00:14:15Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51219,True,2024-10-14T00:14:31Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51570,True,2024-10-14T00:13:36Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51047,True,2024-10-14T00:14:28Z,-23.561893500000004,-46.56246725,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51571,True,2024-10-14T00:14:19Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51576,True,2024-10-14T00:14:18Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51045,True,2024-10-14T00:14:00Z,-23.594828,-46.503370000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51578,True,2024-10-14T00:13:50Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51201,True,2024-10-14T00:14:04Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
51210,True,2024-10-14T00:13:56Z,-23.542912,-46.588283000000004,,,21:14,3746-10,33051,2,METRÔ BELÉM,JD. IMPERADOR,13
66375,True,2024-10-14T00:14:33Z,-23.7529775,-46.6886025,,,21:14,6080-10,1168,1,SHOP. INTERLAGOS,JD. LUCÉLIA,2
66572,True,2024-10-14T00:14:32Z,-23.759982,-46.6777045,,,21:14,6080-10,1168,1,SHOP. INTERLAGOS,JD. LUCÉLIA,2
55333,True,2024-10-14T00:14:25Z,-23.637237,-46.5923005,,,21:14,5031-10,1746,1,TERM. SACOMÃ,VL. ARAPUÁ,7
55378,True,2024-10-14T00:14:32Z,-23.637237,-46.5923005,,,21:14,5031-10,1746,1,TERM. SACOMÃ,VL. ARAPUÁ,7
55004,True,2024-10-14T00:14:30Z,-23.637237,-46.5923005,,,21:14,5031-10,1746,1,TERM. SACOMÃ,VL. ARAPUÁ,7
55204,True,2024-10-14T00:14:36Z,-23.637237,-46.5923005,,,21:14,5031-10,1746,1,TERM. SACOMÃ,VL. ARAPUÁ,7
55057,True,2024-10-14T00:14:39Z,-23.603151,-46.6022615,,,21:14,5031-10,1746,1,TERM. SACOMÃ,VL. ARAPUÁ,7
55084,True,2024-10-14T00:14:24Z,-23.637237,-46.5923005,,,21:14,5031-10,1746,1,TERM. SACOMÃ,VL. ARAPUÁ,7
55143,True,2024-10-14T00:14:32Z,-23.6293885,-46.589252,,,21:14,5031-10,1746,1,TERM. SACOMÃ,VL. ARAPUÁ,7
81532,True,2024-10-14T00:14:36Z,-23.575720750000002,-46.77557075,,,21:14,809A-10,34837,2,TERM. PINHEIROS,JD. D'ABRIL,2
81538,True,2024-10-14T00:14:04Z,-23.575832,-46.718787000000006,,,21:14,809A-10,34837,2,TERM. PINHEIROS,JD. D'ABRIL,2
66187,True,2024-10-14T00:14:25Z,-23.736617,-46.696708,,,21:14,6053-10,1145,1,TERM. GRAJAÚ,JD. ELLUS,1
71398,True,2024-10-14T00:14:00Z,-23.549145000000003,-46.641251499999996,,,21:14,6403-10,32826,2,TERM. PQ. D. PEDRO II,TERM. JOÃO DIAS,3
71542,True,2024-10-14T00:14:38Z,-23.64353475,-46.73348675,,,21:14,6403-10,32826,2,TERM. PQ. D. PEDRO II,TERM. JOÃO DIAS,3
71699,True,2024-10-14T00:14:18Z,-23.6217075,-46.704375,,,21:14,6403-10,32826,2,TERM. PQ. D. PEDRO II,TERM. JOÃO DIAS,3
55332,True,2024-10-14T00:14:08Z,-23.5931925,-46.489129500000004,,,21:14,4028-10,1098,1,DIV. DE MAUÁ,HOSP. SÃO MATEUS,2
55082,True,2024-10-14T00:13:58Z,-23.6357645,-46.445705000000004,,,21:14,4028-10,1098,1,DIV. DE MAUÁ,HOSP. SÃO MATEUS,2
31730,True,2024-10-14T00:14:16Z,-23.544536,-46.624026,,,21:14,390E-10,1882,1,TERM. PQ. D. PEDRO II,TERM. PENHA,1
73490,True,2024-10-14T00:14:06Z,-23.653993,-46.710736499999996,,,21:14,675L-10,1478,1,METRÔ STA. CRUZ,TERM. STO. AMARO,3
73405,True,2024-10-14T00:14:05Z,-23.603474,-46.661992,,,21:14,675L-10,1478,1,METRÔ STA. CRUZ,TERM. STO. AMARO,3
73958,True,2024-10-14T00:14:28Z,-23.653993,-46.710736499999996,,,21:14,675L-10,1478,1,METRÔ STA. CRUZ,TERM. STO. AMARO,3
32501,True,2024-10-14T00:14:13Z,-23.5039315,-46.3796915,,,21:14,2076-10,33136,2,TERM. PENHA,JD. DAS OLIVEIRAS,7
32508,True,2024-10-14T00:14:11Z,-23.5039315,-46.3796915,,,21:14,2076-10,33136,2,TERM. PENHA,JD. DAS OLIVEIRAS,7
32522,True,2024-10-14T00:13:57Z,-23.504168999999997,-46.379309,,,21:14,2076-10,33136,2,TERM. PENHA,JD. DAS OLIVEIRAS,7
32137,True,2024-10-14T00:13:55Z,-23.504168999999997,-46.379309,,,21:14,2076-10,33136,2,TERM. PENHA,JD. DAS OLIVEIRAS,7
32153,True,2024-10-14T00:14:23Z,-23.5038615,-46.3797665,,,21:14,2076-10,33136,2,TERM. PENHA,JD. DAS OLIVEIRAS,7
32521,True,2024-10-14T00:14:02Z,-23.5232135,-46.533851999999996,,,21:14,2076-10,33136,2,TERM. PENHA,JD. DAS OLIVEIRAS,7
32144,True,2024-10-14T00:14:30Z,-23.494562375,-46.388803625,,,21:14,2076-10,33136,2,TERM. PENHA,JD. DAS OLIVEIRAS,7
31769,True,2024-10-14T00:14:29Z,-23.518758,-46.4745405,,,21:14,253F-10,158,1,TERM. SÃO MATEUS,TERM. A. E. CARVALHO,6
31388,True,2024-10-14T00:14:30Z,-23.5185795,-46.475586,,,21:14,253F-10,158,1,TERM. SÃO MATEUS,TERM. A. E. CARVALHO,6
31045,True,2024-10-14T00:14:07Z,-23.5185795,-46.475586,,,21:14,253F-10,158,1,TERM. SÃO MATEUS,TERM. A. E. CARVALHO,6
31386,True,2024-10-14T00:14:23Z,-23.5185795,-46.475586,,,21:14,253F-10,158,1,TERM. SÃO MATEUS,TERM. A. E. CARVALHO,6
31360,True,2024-10-14T00:14:29Z,-23.5185795,-46.475586,,,21:14,253F-10,158,1,TERM. SÃO MATEUS,TERM. A. E. CARVALHO,6
31352,True,2024-10-14T00:14:02Z,-23.543419875,-46.45067887500001,,,21:14,253F-10,158,1,TERM. SÃO MATEUS,TERM. A. E. CARVALHO,6
31294,True,2024-10-14T00:14:15Z,-23.491775,-46.434236999999996,,,21:14,354M-10,34387,2,TERM. SÃO MATEUS,TERM. SÃO MIGUEL,4
31210,True,2024-10-14T00:14:06Z,-23.587449999999997,-46.442837999999995,,,21:14,354M-10,34387,2,TERM. SÃO MATEUS,TERM. SÃO MIGUEL,4
31145,True,2024-10-14T00:14:16Z,-23.491775,-46.434236999999996,,,21:14,354M-10,34387,2,TERM. SÃO MATEUS,TERM. SÃO MIGUEL,4
31185,True,2024-10-14T00:14:28Z,-23.4917705,-46.4343875,,,21:14,354M-10,34387,2,TERM. SÃO MATEUS,TERM. SÃO MIGUEL,4
55336,True,2024-10-14T00:14:28Z,-23.5631475,-46.501079000000004,,,21:14,364A-10,1246,1,SHOP. ARICANDUVA,HOSP. IPIRANGA,7
55161,True,2024-10-14T00:14:26Z,-23.584956875000003,-46.58101225,,,21:14,364A-10,1246,1,SHOP. ARICANDUVA,HOSP. IPIRANGA,7
55456,True,2024-10-14T00:14:29Z,-23.58358225,-46.612262875,,,21:14,364A-10,1246,1,SHOP. ARICANDUVA,HOSP. IPIRANGA,7
55373,True,2024-10-14T00:14:22Z,-23.614266,-46.501662499999995,,,21:14,364A-10,1246,1,SHOP. ARICANDUVA,HOSP. IPIRANGA,7
55131,True,2024-10-14T00:14:36Z,-23.589524,-46.6086725,,,21:14,364A-10,1246,1,SHOP. ARICANDUVA,HOSP. IPIRANGA,7
55046,True,2024-10-14T00:14:30Z,-23.5632085,-46.5012665,,,21:14,364A-10,1246,1,SHOP. ARICANDUVA,HOSP. IPIRANGA,7
55047,True,2024-10-14T00:14:21Z,-23.592533500000002,-46.5020825,,,21:14,364A-10,1246,1,SHOP. ARICANDUVA,HOSP. IPIRANGA,7
10428,True,2024-10-14T00:14:28Z,-23.5164275,-46.742095,,,21:14,8062-10,33188,2,LAPA,PQ. SÃO DOMINGOS,1
76305,True,2024-10-14T00:14:20Z,-23.6544585,-46.71376925,,,21:14,7550-10,34861,2,METRÔ STA. CECÍLIA,TERM. STO. AMARO,2
76303,True,2024-10-14T00:14:03Z,-23.6551605,-46.7164075,,,21:14,7550-10,34861,2,METRÔ STA. CECÍLIA,TERM. STO. AMARO,2
63366,True,2024-10-14T00:14:38Z,-23.6261595,-46.661417,,,21:14,576M-10,604,1,PINHEIROS,VL. CLARA,3
63327,True,2024-10-14T00:14:36Z,-23.56998325,-46.691308250000006,,,21:14,576M-10,604,1,PINHEIROS,VL. CLARA,3
63633,True,2024-10-14T00:13:59Z,-23.650150500000002,-46.640345499999995,,,21:14,576M-10,604,1,PINHEIROS,VL. CLARA,3
86251,True,2024-10-14T00:14:36Z,-23.650399,-46.7076415,,,21:14,746C-10,33551,2,STO. AMARO,JD. TABOÃO,6
86244,True,2024-10-14T00:14:11Z,-23.650399,-46.7076415,,,21:14,746C-10,33551,2,STO. AMARO,JD. TABOÃO,6
86312,True,2024-10-14T00:14:11Z,-23.650399,-46.7076415,,,21:14,746C-10,33551,2,STO. AMARO,JD. TABOÃO,6
86224,True,2024-10-14T00:13:16Z,-23.641418,-46.71756875,,,21:14,746C-10,33551,2,STO. AMARO,JD. TABOÃO,6
86182,True,2024-10-14T00:14:28Z,-23.629562999999997,-46.734449,,,21:14,746C-10,33551,2,STO. AMARO,JD. TABOÃO,6
86300,True,2024-10-14T00:14:02Z,-23.64639175,-46.71053475,,,21:14,746C-10,33551,2,STO. AMARO,JD. TABOÃO,6
31750,True,2024-10-14T00:14:33Z,-23.502502500000002,-46.4661435,,,21:14,2767-10,241,1,METRÔ TATUAPÉ,CID. PEDRO JOSÉ NUNES,1
81572,True,2024-10-14T00:13:56Z,-23.566112500000003,-46.701726,,,21:14,771P-10,33274,2,TERM. PINHEIROS,JD. JOÃO XXIII,2
81570,True,2024-10-14T00:14:24Z,-23.602404,-46.795141,,,21:14,771P-10,33274,2,TERM. PINHEIROS,JD. JOÃO XXIII,2
21729,True,2024-10-14T00:14:14Z,-23.5562275,-46.6341875,,,21:14,2127-10,33461,2,LIBERDADE,PQ. EDU CHAVES,4
21746,True,2024-10-14T00:14:30Z,-23.478293,-46.56974099999999,,,21:14,2127-10,33461,2,LIBERDADE,PQ. EDU CHAVES,4
21724,True,2024-10-14T00:14:18Z,-23.478293,-46.56974099999999,,,21:14,2127-10,33461,2,LIBERDADE,PQ. EDU CHAVES,4
21400,True,2024-10-14T00:14:24Z,-23.4950555,-46.584595,,,21:14,2127-10,33461,2,LIBERDADE,PQ. EDU CHAVES,4
22096,True,2024-10-14T00:13:03Z,-23.509932625,-46.61561125,,,21:14,971D-10,33477,2,SHOP. CENTER NORTE,JD. DAMASCENO,4
22097,True,2024-10-14T00:14:36Z,-23.4798945,-46.658268500000005,,,21:14,971D-10,33477,2,SHOP. CENTER NORTE,JD. DAMASCENO,4
22132,True,2024-10-14T00:14:01Z,-23.513426000000003,-46.615978999999996,,,21:14,971D-10,33477,2,SHOP. CENTER NORTE,JD. DAMASCENO,4
22124,True,2024-10-14T00:14:17Z,-23.455434500000003,-46.6937785,,,21:14,971D-10,33477,2,SHOP. CENTER NORTE,JD. DAMASCENO,4
71736,True,2024-10-14T00:14:09Z,-23.654408500000002,-46.762060999999996,,,21:14,6451-10,32829,2,TERM. BANDEIRA,TERM. CAPELINHA,7
71175,True,2024-10-14T00:14:35Z,-23.654408500000002,-46.762060999999996,,,21:14,6451-10,32829,2,TERM. BANDEIRA,TERM. CAPELINHA,7
71694,True,2024-10-14T00:14:40Z,-23.5611825,-46.65568175,,,21:14,6451-10,32829,2,TERM. BANDEIRA,TERM. CAPELINHA,7
71735,True,2024-10-14T00:14:34Z,-23.61195075,-46.7006325,,,21:14,6451-10,32829,2,TERM. BANDEIRA,TERM. CAPELINHA,7
71427,True,2024-10-14T00:14:11Z,-23.654660999999997,-46.7609705,,,21:14,6451-10,32829,2,TERM. BANDEIRA,TERM. CAPELINHA,7
71127,True,2024-10-14T00:14:38Z,-23.6493095,-46.7519875,,,21:14,6451-10,32829,2,TERM. BANDEIRA,TERM. CAPELINHA,7
71171,True,2024-10-14T00:14:31Z,-23.654127000000003,-46.762448000000006,,,21:14,6451-10,32829,2,TERM. BANDEIRA,TERM. CAPELINHA,7
76361,True,2024-10-14T00:14:39Z,-23.611075999999997,-46.669148,,,21:14,5300-10,354,1,TERM. PQ. D. PEDRO II,TERM. STO. AMARO,6
76352,True,2024-10-14T00:14:39Z,-23.654195,-46.711744499999995,,,21:14,5300-10,354,1,TERM. PQ. D. PEDRO II,TERM. STO. AMARO,6
76355,True,2024-10-14T00:14:33Z,-23.54695,-46.6321205,,,21:14,5300-10,354,1,TERM. PQ. D. PEDRO II,TERM. STO. AMARO,6
76350,True,2024-10-14T00:14:14Z,-23.654195,-46.711744499999995,,,21:14,5300-10,354,1,TERM. PQ. D. PEDRO II,TERM. STO. AMARO,6
76376,True,2024-10-14T00:14:32Z,-23.654195,-46.711744499999995,,,21:14,5300-10,354,1,TERM. PQ. D. PEDRO II,TERM. STO. AMARO,6
76153,True,2024-10-14T00:14:16Z,-23.654195,-46.711744499999995,,,21:14,5300-10,354,1,TERM. PQ. D. PEDRO II,TERM. STO. AMARO,6
51413,True,2024-10-14T00:14:20Z,-23.622764625000002,-46.640228875,,,21:14,477P-10,348,1,RIO PEQUENO,IPIRANGA,4
51157,True,2024-10-14T00:14:39Z,-23.567136249999997,-46.69929375,,,21:14,477P-10,348,1,RIO PEQUENO,IPIRANGA,4
51154,True,2024-10-14T00:14:30Z,-23.611890000000002,-46.6083255,,,21:14,477P-10,348,1,RIO PEQUENO,IPIRANGA,4
51146,True,2024-10-14T00:14:25Z,-23.5773965,-46.7651975,,,21:14,477P-10,348,1,RIO PEQUENO,IPIRANGA,4
73885,True,2024-10-14T00:14:17Z,-23.6901525,-46.774198999999996,,,21:14,637A-10,32953,2,TERM. PINHEIROS,TERM. JD. ÂNGELA,4
73896,True,2024-10-14T00:14:40Z,-23.577909625,-46.686604,,,21:14,637A-10,32953,2,TERM. PINHEIROS,TERM. JD. ÂNGELA,4
73866,True,2024-10-14T00:14:04Z,-23.667488,-46.73012,,,21:14,637A-10,32953,2,TERM. PINHEIROS,TERM. JD. ÂNGELA,4
73881,True,2024-10-14T00:14:31Z,-23.689751,-46.773829500000005,,,21:14,637A-10,32953,2,TERM. PINHEIROS,TERM. JD. ÂNGELA,4
21738,True,2024-10-14T00:14:14Z,-23.51559625,-46.61637925,,,21:14,PAEC-10,34190,2,PAESE CPTM IDA,PAESE CPTM VOLTA,5
22842,True,2024-10-14T00:14:21Z,-23.4609005,-46.5831035,,,21:14,PAEC-10,34190,2,PAESE CPTM IDA,PAESE CPTM VOLTA,5
